DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2012,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2013,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2014,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2015,1.59,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2016,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2017,1.48,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2018,1.37,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2020,1.34,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2021,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AL,2022,1.21,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AM,2015,1.62,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AM,2016,1.62,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AM,2017,1.56,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AM,2018,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AM,2019,1.60,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2012,1.44,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2013,1.44,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2014,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2015,1.49,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2016,1.53,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2017,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2018,1.47,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2019,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2020,1.44,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2021,1.48,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2022,1.41,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AT,2023,1.32,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2012,2.00,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2013,1.98,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2014,1.97,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2015,1.94,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2016,1.90,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2017,1.75,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2018,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,AZ,2019,1.81,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BE,2012,1.80,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BE,2013,1.76,,
