country,year,n_obs_aire
Albania,2024,67
Andorra,2024,12
Austria,2024,4930
Belgium,2024,4043
Bosnia and Herzegovina,2024,279
Bulgaria,2024,620
Croatia,2024,308
Cyprus,2024,161
Czechia,2024,2003
Denmark,2024,384
Estonia,2024,114
Finland,2024,1401
Finland,NA,1
France,2018,5
France,2019,6
France,2020,52
France,2021,3
France,2022,13
France,2023,5
France,2024,9676
Georgia,2019,56
Germany,2024,8865
Greece,2023,1
Greece,2024,628
Hungary,2024,710
Iceland,2024,349
Ireland,2020,2
Ireland,2024,459
Italy,2019,2
Italy,2024,6940
Kosovo under UNSCR 1244/99,2017,1
Kosovo under UNSCR 1244/99,2023,8
Kosovo under UNSCR 1244/99,2024,105
Latvia,2024,382
Lithuania,2024,397
Luxembourg,2023,4
Luxembourg,2024,392
Malta,2021,13
Malta,2024,263
Montenegro,2022,7
Montenegro,2024,80
Netherlands,2019,70
Netherlands,2022,365
Netherlands,2023,13
Netherlands,2024,4140
North Macedonia,2024,782
Norway,2024,491
Poland,2024,3595
Portugal,2024,1057
Romania,2024,1675
Serbia,2024,263
Slovakia,2024,1050
Slovenia,2024,475
Spain,2024,9898
Sweden,2024,2857
Switzerland,2024,1579
Türkiye,2024,4641
Ukraine,2019,56
United Kingdom,2019,29
United Kingdom,2020,6570
