country,b_g_namespace,year,air_quality_network,air_quality_network_name,timezone,air_quality_station_eo_i_code,air_quality_station_nat_code,air_quality_station_name,sampling_point_id,air_pollutant,longitude,latitude,altitude,altitude_unit,air_quality_station_area,air_quality_station_type,operational_activity_begin,operational_activity_end,sample_id,inlet_height,inlet_height_unit,building_distance,building_distance_unit,kerb_distance,kerb_distance_unit,distance_source,distance_source_unit,main_emission_sources,heating_emissions,heating_emissions_unit,mobile,traffic_emissions,traffic_emissions_unit,industrial_emissions,industrial_emissions_unit,municipality,dispersion_local,dispersion_regional,distance_junction,distance_junction_unit,heavy_duty_fraction,height_facades,street_width,traffic_speed,traffic_volume,process_id,process_activity_begin,process_activity_end,measurement_type,measurement_method,other_measurement_method,measurement_equipment,other_measurement_equipment,sampling_method,other_sampling_method,analytical_technique,other_analytical_technique,equivalence_demonstrated,demonstration_report,detection_limit,detection_limit_unit,documentation,qa_report,duration,duration_unit,cadence,cadence_unit,source_data_url,imported,tfr
France,FR.LCSQA-INERIS.AQ,2022,NET-FR004A,AIRPARIF,UTC,FR04041,FR04041,Boulevard Haussmann,SPO-FR04041_20,C6H6,2.32972,48.87333,42,m,urban,traffic,29/12/2014 00:00:00,01/01/2017 00:00:00,SAM-FR04041_20,3,m,NA,m,NA,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARIS 9E ARRONDISSEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_119,01/01/2015 00:00:00,01/01/2017 00:00:00,active,NA,NA,NA,NA,activeabsorbent,NA,GC-FID,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,week,1,week,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyklpww/FR_2022_D_LCSQA-INERIS_20220808.xml,12/08/2022 14:00:07,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR004A,AIRPARIF,UTC,FR04041,FR04041,Boulevard Haussmann,SPO-FR04041_21,C6H5-CH3,2.32972,48.87333,42,m,urban,traffic,28/12/2015 00:00:00,01/01/2017 00:00:00,SAM-FR04041_21,3,m,NA,m,NA,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARIS 9E ARRONDISSEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_119,28/12/2015 00:00:00,01/01/2017 00:00:00,active,NA,NA,NA,NA,activeabsorbent,NA,GC-FID,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,week,1,week,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyklpww/FR_2022_D_LCSQA-INERIS_20220808.xml,12/08/2022 14:00:07,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR004A,AIRPARIF,UTC,FR04041,FR04041,Boulevard Haussmann,SPO-FR04041_431,C6H5-C2H5,2.32972,48.87333,42,m,urban,traffic,28/12/2015 00:00:00,01/01/2017 00:00:00,SAM-FR04041_431,3,m,NA,m,NA,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARIS 9E ARRONDISSEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_119,28/12/2015 00:00:00,01/01/2017 00:00:00,active,NA,NA,NA,NA,activeabsorbent,NA,GC-FID,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,week,1,week,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyklpww/FR_2022_D_LCSQA-INERIS_20220808.xml,12/08/2022 14:00:07,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR004A,AIRPARIF,UTC,FR04041,FR04041,Boulevard Haussmann,SPO-FR04041_464,"m,p-C6H4(CH3)2",2.32972,48.87333,42,m,urban,traffic,28/12/2015 00:00:00,01/01/2017 00:00:00,SAM-FR04041_464,3,m,NA,m,NA,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARIS 9E ARRONDISSEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_119,28/12/2015 00:00:00,01/01/2017 00:00:00,active,NA,NA,NA,NA,activeabsorbent,NA,GC-FID,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,week,1,week,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyklpww/FR_2022_D_LCSQA-INERIS_20220808.xml,12/08/2022 14:00:07,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR004A,AIRPARIF,UTC,FR04041,FR04041,Boulevard Haussmann,SPO-FR04041_482,o-C6H4-(CH3)2,2.32972,48.87333,42,m,urban,traffic,28/12/2015 00:00:00,01/01/2017 00:00:00,SAM-FR04041_482,3,m,NA,m,NA,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARIS 9E ARRONDISSEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_119,28/12/2015 00:00:00,01/01/2017 00:00:00,active,NA,NA,NA,NA,activeabsorbent,NA,GC-FID,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,week,1,week,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyklpww/FR_2022_D_LCSQA-INERIS_20220808.xml,12/08/2022 14:00:07,1.78
France,FR.LCSQA-INERIS.AQ,2021,NET-FR035A,AIR PAYS DE LA LOIRE,UTC,FR23003,FR23003,LA MEGRETAIS,SPO-FR23003_20,C6H6,-2.03924,47.3227,11,m,suburban,industrial,17/05/2021 00:00:00,NA,SAM-FR23003_20,6,m,NA,m,NA,NA,-999,m,NA,NA,NA,0,NA,NA,-999,t.year-1,DONGES,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-FR_24,17/05/2021 00:00:01,NA,automatic,FID,NA,undetermined,NA,NA,NA,NA,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,15,minute,15,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envyayta/FR_2022_D_LCSQA-INERIS_20211201.xml,08/12/2021 13:01:29,1.83
France,FR.LCSQA-INERIS.AQ,2019,NET-FR035A,AIR PAYS DE LA LOIRE,UTC,FR23124,FR23124,LA TARDIERE,SPO-FR23124_20,C6H6,-0.74368,46.65668,100,m,rural-remote,background,01/01/2019 00:00:00,NA,SAM-FR23124_20,3,m,NA,m,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,LA TARDIÈRE,detached,valley-hilly,NA,NA,NA,NA,NA,NA,NA,SPP-FR_2570,01/01/2019 00:00:00,NA,passive,NA,NA,NA,NA,canister,NA,GC-FID,NA,no,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,1,day,6,day,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envxm98fq/FR_2020_D_LCSQA-INERIS_20200316.xml,07/04/2020 17:30:45,1.86
France,FR.LCSQA-INERIS.AQ,2022,NET-FR035A,AIR PAYS DE LA LOIRE,UTC,FR23251,FR23251,FRERES GONCOURT,SPO-FR23251_21,C6H5-CH3,-1.56481,47.20412,25,m,urban,traffic,01/01/2022 00:00:00,NA,SAM-FR23251_21,3,m,4,m,1,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NANTES,detached,plane,27,NA,-999,NA,NA,-999,19018,SPP-FR_28,01/01/2022 00:00:01,NA,automatic,FID,NA,undetermined,NA,NA,NA,NA,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,15,minute,15,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envy3usna/FR_2023_D_LCSQA-INERIS_20221122.xml,23/11/2022 13:18:49,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR035A,AIR PAYS DE LA LOIRE,UTC,FR23251,FR23251,FRERES GONCOURT,SPO-FR23251_431,C6H5-C2H5,-1.56481,47.20412,25,m,urban,traffic,01/01/2022 00:00:00,NA,SAM-FR23251_431,3,m,4,m,1,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NANTES,detached,plane,27,NA,-999,NA,NA,-999,19018,SPP-FR_28,01/01/2022 00:00:01,NA,automatic,FID,NA,undetermined,NA,NA,NA,NA,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,15,minute,15,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envy3usna/FR_2023_D_LCSQA-INERIS_20221122.xml,23/11/2022 13:18:49,1.78
France,FR.LCSQA-INERIS.AQ,2022,NET-FR035A,AIR PAYS DE LA LOIRE,UTC,FR23251,FR23251,FRERES GONCOURT,SPO-FR23251_464,"m,p-C6H4(CH3)2",-1.56481,47.20412,25,m,urban,traffic,01/01/2022 00:00:00,NA,SAM-FR23251_464,3,m,4,m,1,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NANTES,detached,plane,27,NA,-999,NA,NA,-999,19018,SPP-FR_28,01/01/2022 00:00:01,NA,automatic,FID,NA,undetermined,NA,NA,NA,NA,NA,ref,https://www.lcsqa.org/fr/conformite-technique-appareils-mesure,-999,ug.m-3,NA,https://www.lcsqa.org/fr/guides-methodologiques,15,minute,15,minute,http://cdr.eionet.europa.eu/fr/eu/aqd/d/envy3usna/FR_2023_D_LCSQA-INERIS_20221122.xml,23/11/2022 13:18:49,1.78
