country,n_years,year_min,year_max,tfr_mean,tfr_min,tfr_max
AL,10,2012,2022,1.5010000000000001,1.21,1.73
AM,5,2015,2019,1.594,1.56,1.62
AT,12,2012,2023,1.455,1.32,1.53
AZ,8,2012,2019,1.885,1.73,2
BE,12,2012,2023,1.6416666666666666,1.47,1.8
BG,12,2012,2023,1.6966666666666668,1.5,1.81
BY,7,2012,2018,1.6328571428571428,1.45,1.73
CH,12,2012,2023,1.49,1.33,1.54
CY,12,2012,2023,1.3583333333333334,1.31,1.4
CZ,12,2012,2023,1.6183333333333334,1.45,1.83
DE,12,2012,2023,1.5033333333333334,1.39,1.6
DK,12,2012,2023,1.685,1.5,1.79
EA19,12,2012,2023,1.52,1.38,1.58
EA20,4,2020,2023,1.46,1.38,1.52
EE,12,2012,2023,1.5525,1.31,1.67
EL,12,2012,2023,1.34,1.26,1.43
ES,12,2012,2023,1.2508333333333335,1.12,1.33
EU27_2020,12,2012,2023,1.5175,1.38,1.57
FI,12,2012,2023,1.5116666666666667,1.26,1.8
FR,12,2012,2023,1.8825,1.66,2.01
FX,1,2012,2012,1.99,1.99,1.99
GE,9,2014,2023,2.02,1.71,2.23
HR,12,2012,2023,1.5025,1.42,1.63
HU,12,2012,2023,1.5191666666666668,1.34,1.63
IE,12,2012,2023,1.7483333333333333,1.5,1.98
IS,12,2012,2023,1.7733333333333334,1.55,2.04
IT,12,2012,2023,1.3141666666666667,1.21,1.42
LI,12,2012,2023,1.4975,1.4,1.61
LT,12,2012,2023,1.4766666666666666,1.18,1.63
LU,12,2012,2023,1.4091666666666667,1.25,1.57
LV,12,2012,2023,1.575,1.36,1.74
MD,10,2012,2023,1.599,1.28,1.72
ME,12,2012,2023,1.7575,1.72,1.79
MK,12,2012,2023,1.4608333333333334,1.31,1.58
MT,12,2012,2023,1.245,1.06,1.42
NL,12,2012,2023,1.6075,1.43,1.72
NO,12,2012,2023,1.6133333333333333,1.4,1.85
PL,12,2012,2023,1.3533333333333333,1.2,1.48
PT,12,2012,2023,1.3583333333333334,1.21,1.45
RO,12,2012,2023,1.6683333333333334,1.46,1.81
RS,12,2012,2023,1.4975,1.43,1.62
SE,12,2012,2023,1.7458333333333333,1.45,1.91
SI,12,2012,2023,1.5816666666666668,1.51,1.64
SK,12,2012,2023,1.4866666666666668,1.34,1.63
SM,1,2012,2012,1.26,1.26,1.26
TR,10,2012,2023,1.9669999999999999,1.51,2.17
UA,7,2012,2019,1.3285714285714285,1.14,1.53
UK,7,2012,2018,1.7957142857142858,1.68,1.92
XK,5,2015,2019,1.6175,1.55,1.66
