country,n_years_aire,year_min_aire,year_max_aire,total_obs_aire,avg_obs_por_year,n_years_ovlp,year_min_ovlp,year_max_ovlp,tfr_mean_ovlp
Albania,1,2024,2024,67,67,NA,NA,NA,NA
Andorra,1,2024,2024,12,12,NA,NA,NA,NA
Austria,1,2024,2024,4930,4930,NA,NA,NA,NA
Belgium,1,2024,2024,4043,4043,NA,NA,NA,NA
Bosnia and Herzegovina,1,2024,2024,279,279,NA,NA,NA,NA
Bulgaria,1,2024,2024,620,620,NA,NA,NA,NA
Croatia,1,2024,2024,308,308,NA,NA,NA,NA
Cyprus,1,2024,2024,161,161,NA,NA,NA,NA
Czechia,1,2024,2024,2003,2003,NA,NA,NA,NA
Denmark,1,2024,2024,384,384,NA,NA,NA,NA
Estonia,1,2024,2024,114,114,NA,NA,NA,NA
Finland,2,2024,2024,1402,701,NA,NA,NA,NA
France,7,2018,2024,9760,1394.2857142857142,6,2018,2023,1.8033333333333335
Georgia,1,2019,2019,56,56,1,2019,2019,2.02
Germany,1,2024,2024,8865,8865,NA,NA,NA,NA
Greece,2,2023,2024,629,314.5,1,2023,2023,1.26
Hungary,1,2024,2024,710,710,NA,NA,NA,NA
Iceland,1,2024,2024,349,349,NA,NA,NA,NA
Ireland,2,2020,2024,461,230.5,1,2020,2020,1.6
Italy,2,2019,2024,6942,3471,1,2019,2019,1.27
Kosovo under UNSCR 1244/99,3,2017,2024,114,38,NA,NA,NA,NA
Latvia,1,2024,2024,382,382,NA,NA,NA,NA
Lithuania,1,2024,2024,397,397,NA,NA,NA,NA
Luxembourg,2,2023,2024,396,198,1,2023,2023,1.25
Malta,2,2021,2024,276,138,1,2021,2021,1.13
Montenegro,2,2022,2024,87,43.5,1,2022,2022,1.78
Netherlands,4,2019,2024,4588,1147,3,2019,2023,1.4966666666666666
North Macedonia,1,2024,2024,782,782,NA,NA,NA,NA
Norway,1,2024,2024,491,491,NA,NA,NA,NA
Poland,1,2024,2024,3595,3595,NA,NA,NA,NA
Portugal,1,2024,2024,1057,1057,NA,NA,NA,NA
Romania,1,2024,2024,1675,1675,NA,NA,NA,NA
Serbia,1,2024,2024,263,263,NA,NA,NA,NA
Slovakia,1,2024,2024,1050,1050,NA,NA,NA,NA
Slovenia,1,2024,2024,475,475,NA,NA,NA,NA
Spain,1,2024,2024,9898,9898,NA,NA,NA,NA
Sweden,1,2024,2024,2857,2857,NA,NA,NA,NA
Switzerland,1,2024,2024,1579,1579,NA,NA,NA,NA
Türkiye,1,2024,2024,4641,4641,NA,NA,NA,NA
Ukraine,1,2019,2019,56,56,1,2019,2019,1.14
United Kingdom,2,2019,2020,6599,3299.5,NA,NA,NA,NA
