country,year,air_pollutant,n_obs
Albania,2024,C6H6,8
Albania,2024,CO,9
Albania,2024,NO,2
Albania,2024,NO2,8
Albania,2024,NOX as NO2,8
Albania,2024,O3,8
Albania,2024,PM10,9
Albania,2024,PM2.5,7
Albania,2024,SO2,8
Andorra,2024,CO,1
Andorra,2024,NO,1
Andorra,2024,NO2,1
Andorra,2024,NOX as NO2,1
Andorra,2024,O3,3
Andorra,2024,PM10,2
Andorra,2024,PM2.5,2
Andorra,2024,SO2,1
Austria,2024,(CH3)2-CH-CH2-CH2-CH3,1
Austria,2024,(CH3)3-C-CH2-CH-(CH3)2,1
Austria,2024,"1,2,3-C6H3(CH3)3",1
Austria,2024,"1,2,4-C6H3(CH3)3",1
Austria,2024,"1,3,5-C6H3(CH3)3",1
Austria,2024,As,2
Austria,2024,As in PM10,38
Austria,2024,BaP,3
Austria,2024,BaP in PM10,111
Austria,2024,Benzo(a)anthracene,3
Austria,2024,Benzo(a)anthracene in PM10,2
Austria,2024,Benzo(b)fluoranthene,3
Austria,2024,Benzo(b)fluoranthene in PM10,2
Austria,2024,Benzo(j)fluoranthene,3
Austria,2024,Benzo(j)fluoranthene in PM10,2
Austria,2024,Benzo(k)fluoranthene,3
Austria,2024,Benzo(k)fluoranthene in PM10,2
Austria,2024,C6H14,1
Austria,2024,C6H5-C2H5,3
Austria,2024,C6H5-CH3,3
Austria,2024,C6H6,61
Austria,2024,C7H16,1
Austria,2024,C8H18,1
Austria,2024,CO,176
Austria,2024,Ca2+ in PM2.5,1
Austria,2024,Cd,2
Austria,2024,Cd in PM10,41
Austria,2024,Cl- in PM2.5,1
Austria,2024,Dibenzo(ah)anthracene,3
Austria,2024,Dibenzo(ah)anthracene in PM10,2
Austria,2024,EC in PM2.5,2
Austria,2024,H2C=CH-CH2-CH2-CH3,1
Austria,2024,H3C-(CH2)3-CH3,1
Austria,2024,H3C-CH2-CH(CH3)2,1
Austria,2024,H3C-HC=CH-CH2-CH3,1
Austria,2024,Hg,2
Austria,2024,Hg0,6
Austria,2024,"Indeno-(1,2,3-cd)pyrene",3
Austria,2024,"Indeno-(1,2,3-cd)pyrene in PM",2
Austria,2024,K+ in PM2.5,1
Austria,2024,Mg2+ in PM2.5,1
Austria,2024,NH4+ in PM2.5,1
Austria,2024,NO,433
Austria,2024,NO2,737
Austria,2024,NO3- in PM2.5,1
Austria,2024,NOX as NO2,84
Austria,2024,Na+  in PM2.5,1
